states_travelled,siblings,tufts_year
13,2,Senior (4th year)
12,1,Junior (3rd year)
13,0,Senior (4th year)
19,1,Junior (3rd year)
14,0,Junior (3rd year)
15,1,Senior (4th year)
14,1,Junior (3rd year)
10,1,Junior (3rd year)
20,1,Junior (3rd year)
24,2,Junior (3rd year)
15,1,Junior (3rd year)
11,1,Junior (3rd year)
16,1,Junior (3rd year)
24,1,Junior (3rd year)
12,1,Junior (3rd year)
13,1,Junior (3rd year)
11,1,Junior (3rd year)
26,0,Junior (3rd year)
20,1,Junior (3rd year)
9,2,Junior (3rd year)
7,1,Junior (3rd year)
6,1,Junior (3rd year)
10,2,Junior (3rd year)
10,2,Junior (3rd year)
10,1,Junior (3rd year)
5,1,Sophomore (2nd year)
8,1,Junior (3rd year)
19,2,Junior (3rd year)
10,1,Senior (4th year)
15,2,Junior (3rd year)
20,1,Senior (4th year)
23,3,Junior (3rd year)
20,1,Junior (3rd year)
31,2,Junior (3rd year)
28,1,Junior (3rd year)
15,1,Junior (3rd year)
6,4,Sophomore (2nd year)
9,1,Junior (3rd year)
4,2,Junior (3rd year)
9,2,Junior (3rd year)
24,1,Sophomore (2nd year)
32,1,Senior (4th year)
14,1,Junior (3rd year)
14,3,Junior (3rd year)
13,3,Sophomore (2nd year)
15,1,Junior (3rd year)
17,1,Sophomore (2nd year)
2,2,Junior (3rd year)
5,2,Sophomore (2nd year)
10,0,Junior (3rd year)
14,1,Sophomore (2nd year)
10,2,Junior (3rd year)
9,1,Junior (3rd year)
10,1,Sophomore (2nd year)
7,3,Sophomore (2nd year)
14,1,Junior (3rd year)
6,2,Sophomore (2nd year)
10,2,Junior (3rd year)
10,0,Junior (3rd year)
18,1,Junior (3rd year)
17,3,Sophomore (2nd year)
5,3,Junior (3rd year)
4,2,Junior (3rd year)
7,1,Sophomore (2nd year)
6,1,Junior (3rd year)
12,2,Sophomore (2nd year)
10,1,Sophomore (2nd year)
5,0,Sophomore (2nd year)
4,1,Sophomore (2nd year)
14,1,Sophomore (2nd year)
14,0,Sophomore (2nd year)
12,1,Sophomore (2nd year)
15,0,Sophomore (2nd year)
23,1,Junior (3rd year)
17,1,Sophomore (2nd year)
2,2,Sophomore (2nd year)
6,1,Junior (3rd year)
12,1,Sophomore (2nd year)
16,1,Junior (3rd year)
18,1,Sophomore (2nd year)
18,1,Sophomore (2nd year)
7,1,Sophomore (2nd year)
10,1,Sophomore (2nd year)
7,1,Junior (3rd year)
12,2,Junior (3rd year)
10,1,Junior (3rd year)
9,2,Junior (3rd year)
12,3,Junior (3rd year)
13,1,Sophomore (2nd year)
13,2,Sophomore (2nd year)
9,2,Junior (3rd year)
5,2,Sophomore (2nd year)
7,2,Sophomore (2nd year)
5,2,Junior (3rd year)
35,1,Junior (3rd year)
20,2,Junior (3rd year)
6,1,Junior (3rd year)
13,2,Junior (3rd year)
4,1,Sophomore (2nd year)
6,7,Junior (3rd year)
7,2,Junior (3rd year)
9,2,Sophomore (2nd year)
5,1,Junior (3rd year)
19,1,Sophomore (2nd year)
10,1,Junior (3rd year)
5,1,Sophomore (2nd year)
21,2,Sophomore (2nd year)
17,1,Junior (3rd year)
15,0,Junior (3rd year)
9,2,Junior (3rd year)
6,0,Junior (3rd year)
11,0,Sophomore (2nd year)
16,3,Junior (3rd year)
15,0,Sophomore (2nd year)
30,4,Junior (3rd year)
10,1,Sophomore (2nd year)
18,1,Sophomore (2nd year)
20,3,Sophomore (2nd year)
4,1,Sophomore (2nd year)
17,1,Sophomore (2nd year)
9,4,Junior (3rd year)
30,1,Junior (3rd year)
10,2,Sophomore (2nd year)
7,2,Junior (3rd year)
15,1,Junior (3rd year)
15,1,Sophomore (2nd year)
14,1,Sophomore (2nd year)
22,1,Sophomore (2nd year)
8,3,Sophomore (2nd year)
23,1,Sophomore (2nd year)
10,3,Junior (3rd year)
10,3,Junior (3rd year)
25,1,Sophomore (2nd year)
18,1,Sophomore (2nd year)
11,2,Junior (3rd year)
8,0,Junior (3rd year)
16,1,Junior (3rd year)
15,1,Sophomore (2nd year)
7,1,Sophomore (2nd year)
17,1,Sophomore (2nd year)